state,abbr,population,qualifying_share,counted_population,counted_population_share_of_us,actual_house_2024,hypothetical_house,house_change,actual_ev_2024,hypothetical_ev,ev_change,fips,foreign_born_share,second_generation_proxy,third_plus_proxy,black_alone_share,old_stock_factor,fertility_factor,average_qualifying_ancestry,any_qualifying_ancestor_share,primary_qualifying_ancestry_share,average_qualifying_ancestry_uncalibrated,any_qualifying_ancestor_share_uncalibrated,primary_qualifying_ancestry_share_uncalibrated
Virginia,VA,8631393,0.2921538314037089,2521694.535301153,0.02796924603509505,11,12,1,13,14,1,51,0.0,0.0,0.0,0.186248152528798,0.0,0.0,0.2921538314037089,0.6131408164048999,0.2043009101032986,0.2791196829638839,0.5954456434084713,0.1941553703774816
Kentucky,KY,4505836,0.4962638429566238,2236083.489092302,0.024801405715846294,6,11,5,8,13,5,21,0.0,0.0,0.0,0.0804327987081642,0.0,0.0,0.4962638429566238,0.7549801382963073,0.4907459173164631,0.4869506081641027,0.747977048697955,0.4786670589966161
Maryland,MD,6177224,0.324155064102994,2002378.441698553,0.02220927812914052,8,10,2,10,12,2,24,0.0,0.0,0.0,0.294707137057034,0.0,0.0,0.324155064102994,0.6211300101947739,0.2515426302516499,0.3293627295658082,0.6317003809626013,0.2615764339754252
Colorado,CO,5773714,0.318580781956354,1839394.3209123483,0.020401548084811972,8,9,1,10,11,1,8,0.0,0.0,0.0,0.0406719141266782,0.0,0.0,0.318580781956354,0.5851320321469575,0.2421010332950631,0.3257477752650509,0.595752009184845,0.24902411021814
New Jersey,NJ,9288994,0.2049876609890722,1904129.1530015257,0.02111955116583405,12,9,-3,14,11,-3,34,0.0,0.0,0.0,0.131313466237571,0.0,0.0,0.2049876609890722,0.440249776984835,0.1241891168599464,0.197617562095785,0.4295093666369313,0.1147903657448706
Oklahoma,OK,3959353,0.4101542900899098,1623945.6189303545,0.018011909820018487,5,8,3,7,10,3,40,0.0,0.0,0.0,0.0732344400713955,0.0,0.0,0.4101542900899098,0.6864389753892517,0.3610413527540599,0.4024334480749309,0.6788046207935711,0.3453875774317763
Washington,WA,7705281,0.2236314041781601,1723142.8096172977,0.019112150389791548,10,8,-2,12,10,-2,53,0.0,0.0,0.0,0.0399161302488514,0.0,0.0,0.2236314041781601,0.4788316772056609,0.1389254527465909,0.2279543362828066,0.4852669161612251,0.1427280939476061
Arizona,AZ,7151502,0.2087160749085355,1492633.4271405414,0.016555467357157592,9,7,-2,11,9,-2,4,0.0,0.0,0.0,0.0474236041603568,0.0,0.0,0.2087160749085355,0.4649888765294772,0.1211067853170189,0.1992323510859867,0.4461438635520949,0.1160085279940674
Kansas,KS,2937880,0.4653540105165558,1367154.240416379,0.015163721371812622,4,7,3,6,9,3,20,0.0,0.0,0.0,0.0574594605633994,0.0,0.0,0.4653540105165558,0.7200361010830325,0.4370036101083032,0.4756732761644714,0.7312725631768953,0.4503610108303249
Alabama,AL,5024279,0.2608534583866742,1310600.5530495408,0.014536459039277156,7,6,-1,9,8,-1,1,0.0,0.0,0.0,0.2579797021622406,0.0,0.0,0.2608534583866742,0.5895639554060293,0.1604327462233656,0.2638186388023925,0.5967412098423379,0.1638630516524836
