scenario,state,abbr,fips,population,foreign_born_share,second_generation_proxy,third_plus_proxy,black_alone_share,old_stock_factor,fertility_factor,average_qualifying_ancestry,any_qualifying_ancestor_share,primary_qualifying_ancestry_share,average_qualifying_ancestry_uncalibrated,any_qualifying_ancestor_share_uncalibrated,primary_qualifying_ancestry_share_uncalibrated
central,Florida,FL,12,21538187,0.21,0.1637986161163232,0.6262013838836769,0.15,0.62,0.92,0.24432119766026536,0.3960459816472313,0.2130860683782321,0.19831192675605716,0.26967064369992455,0.1734924379617858
central,Georgia,GA,13,10711908,0.105,0.10082987557261995,0.7941701244273801,0.31,0.8,1.02,0.3217634887926276,0.5111542641717165,0.2868558920128471,0.26117069674382376,0.3480487262510058,0.23355505325985734
central,Hawaii,HI,15,1455271,0.185,0.14989147448643586,0.665108525513564,0.02,0.3,1.02,0.1626532492884049,0.2612031661819549,0.1433276023717995,0.13202325286719382,0.1778551714318058,0.11669582789693607
central,Idaho,ID,16,1839106,0.06,0.06814948796887144,0.8718505120311285,0.01,0.76,1.08,0.5455168984862829,0.8570076426636578,0.49207038947938564,0.4427880521739814,0.5835428545231881,0.40063854089254547
central,Illinois,IL,17,12812508,0.14,0.12332364342869569,0.7366763565713043,0.14,0.86,0.95,0.4207374862725496,0.6713333513271154,0.3733309011354554,0.3415064364461369,0.457115853660818,0.30396209708788824
central,Indiana,IN,18,6785528,0.055,0.06412252337581774,0.8808774766241823,0.095,1.0,1.0,0.6415820628490616,1.0,0.5791360488844075,0.5207627347695156,0.685834295655358,0.47152648597450936
central,Iowa,IA,19,3190369,0.055,0.06412252337581774,0.8808774766241823,0.04,1.05,1.0,0.7206891754404124,1.0,0.650650511801023,0.5849728158772283,0.7702758051155378,0.5297528102732348
central,Kansas,KS,20,2937880,0.075,0.07967087855349178,0.8453291214465083,0.06,0.94,1.03,0.6093975941642087,0.9601255349965838,0.5480429795809495,0.49463907436822585,0.6537565915411511,0.44621083564491343
central,Kentucky,KY,21,4505836,0.04,0.05130961026039921,0.9086903897396008,0.08,1.1,1.03,0.7469136534457209,1.0,0.6767372006701191,0.6062588394036689,0.7955566778239511,0.5509923182555991
central,Louisiana,LA,22,4657757,0.045,0.05571927816268332,0.8992807218373167,0.32,0.78,1.02,0.3701703347439685,0.5803283374092717,0.33462584287989805,0.3004618224452564,0.3951498653150376,0.2724488453332486
