state,abbr,population,qualifying_share,counted_population,counted_population_share_of_us,actual_house_2024,hypothetical_house,house_change,actual_ev_2024,hypothetical_ev,ev_change,fips,foreign_born_share,second_generation_proxy,third_plus_proxy,black_alone_share,old_stock_factor,fertility_factor,average_qualifying_ancestry,any_qualifying_ancestor_share,primary_qualifying_ancestry_share,average_qualifying_ancestry_uncalibrated,any_qualifying_ancestor_share_uncalibrated,primary_qualifying_ancestry_share_uncalibrated
New Mexico,NM,2117522,0.6485828551556251,1373388.4646148495,0.012088537458121938,3,5,2,5,7,2,35,0.0,0.0,0.0,0.0216781691052088,0.0,0.0,0.6500309516483546,0.804207963832377,0.6485828551556251,0.618737926692097,0.7892540427751695,0.6145018257694314
South Carolina,SC,5118425,0.2407367436506223,1232192.9671199366,0.010845737548000308,7,5,-2,9,7,-2,45,0.0,0.0,0.0,0.250180670811822,0.0,0.0,0.3228872535091329,0.6476005468019282,0.2407367436506223,0.3152539989949816,0.6300453270019426,0.2346211957694798
West Virginia,WV,1793716,0.7376847290640395,1323196.9014778326,0.011646752335633906,2,5,3,4,7,3,54,0.0,0.0,0.0,0.036690869680596,0.0,0.0,0.7284281813648142,0.833128078817734,0.7376847290640395,0.7264305077162869,0.8411330049261084,0.7302955665024631
Utah,UT,3271616,0.3274794551390296,1071387.0251041315,0.00943032690226448,4,4,0,6,6,0,49,0.0,0.0,0.0,0.0122441019973004,0.0,0.0,0.3897316316542131,0.6450523471800067,0.3274794551390296,0.3945111316911516,0.6440391759540696,0.3336710570753124
Connecticut,CT,3605944,0.1977124183006536,712939.908496732,0.006275282639474986,5,3,-2,7,5,-2,9,0.0,0.0,0.0,0.1077873089543265,0.0,0.0,0.2794064789815666,0.5225694444444444,0.1977124183006536,0.3090685676125919,0.5487132352941176,0.2251838235294117
Mississippi,MS,2961279,0.285820895522388,846395.4156716416,0.007449955311513906,4,3,-1,6,5,-1,28,0.0,0.0,0.0,0.3662204743288288,0.0,0.0,0.3581626778218283,0.6672885572139303,0.285820895522388,0.3814360661293143,0.707089552238806,0.3119402985074627
Nebraska,NE,1961504,0.4413145539906103,865640.2629107981,0.0076193480672566306,3,3,0,5,5,0,31,0.0,0.0,0.0,0.0492147862048713,0.0,0.0,0.4757272868984741,0.7143661971830987,0.4413145539906103,0.4689450374119718,0.7115492957746479,0.4332394366197183
Delaware,DE,989948,0.5107886904761905,505654.2425595238,0.004450758404872209,1,2,1,3,4,1,10,0.0,0.0,0.0,0.2211217154840456,0.0,0.0,0.5297619047619048,0.7686011904761906,0.5107886904761905,0.5070122310093471,0.7700892857142857,0.4787946428571428
Hawaii,HI,1455271,0.3120728929384966,454150.6309794989,0.003997424658554269,2,2,0,4,4,0,15,0.0,0.0,0.0,0.0160911610277398,0.0,0.0,0.3589810753013477,0.5854214123006833,0.3120728929384966,0.3829739627823652,0.6013667425968109,0.3439635535307517
Idaho,ID,1839106,0.2382382382382382,438145.3733733733,0.0038565467051685162,2,2,0,4,4,0,16,0.0,0.0,0.0,0.008550893749463,0.0,0.0,0.3087066558746246,0.6026026026026026,0.2382382382382382,0.2500749284440691,0.5417417417417417,0.1717717717717717
