state,abbr,population,qualifying_share,counted_population,counted_population_share_of_us,actual_house_2024,hypothetical_house,house_change,actual_ev_2024,hypothetical_ev,ev_change,fips,foreign_born_share,second_generation_proxy,third_plus_proxy,black_alone_share,old_stock_factor,fertility_factor,average_qualifying_ancestry,any_qualifying_ancestor_share,primary_qualifying_ancestry_share,average_qualifying_ancestry_uncalibrated,any_qualifying_ancestor_share_uncalibrated,primary_qualifying_ancestry_share_uncalibrated
Washington,WA,7705281,0.4656820571647069,3588211.10711213,0.02029760205239459,10,9,-1,12,11,-1,53,0.0,0.0,0.0,0.0399161302488514,0.0,0.0,0.2182330361357064,0.4656820571647069,0.1369849918745817,0.2172738839125681,0.4756237453398336,0.1349297390306854
Arizona,AZ,7151502,0.4483753025387507,3206556.8728564805,0.018138680646355234,9,8,-1,11,10,-1,4,0.0,0.0,0.0,0.0474236041603568,0.0,0.0,0.2006134154211082,0.4483753025387507,0.1200885730470158,0.2093653897680751,0.4714969874864823,0.1277614707245481
Colorado,CO,5773714,0.5644214823319301,3258808.2144406177,0.018434253260819416,8,8,0,10,10,0,8,0.0,0.0,0.0,0.0406719141266782,0.0,0.0,0.302192097218734,0.5644214823319301,0.2228600586809542,0.2803104837142413,0.5556831228473019,0.193838499808649
Alabama,AL,5024279,0.5866314863676342,2947400.2576956907,0.01667269726724105,7,7,0,9,9,0,1,0.0,0.0,0.0,0.2579797021622406,0.0,0.0,0.2624328130153364,0.5866314863676342,0.172017003811199,0.2643456773581794,0.5879507475813545,0.1785400175901495
Massachusetts,MA,7029917,0.3833097595473833,2694635.794908062,0.015242872676240402,9,7,-2,11,9,-2,25,0.0,0.0,0.0,0.0702752251555743,0.0,0.0,0.1664744837811534,0.3833097595473833,0.0871182356330871,0.1574561805371385,0.3686940122583687,0.0842369951280842
Oklahoma,OK,3959353,0.6848958333333334,2711744.3723958335,0.015339651568887225,5,7,2,7,9,2,40,0.0,0.0,0.0,0.0732344400713955,0.0,0.0,0.3946076915377662,0.6848958333333334,0.3324032738095238,0.3941988263811384,0.6897321428571429,0.3239397321428571
Wisconsin,WI,5893718,0.4779402574678165,2816845.0983627043,0.0159341797745619,8,7,-1,10,9,-1,55,0.0,0.0,0.0,0.0638401769477263,0.0,0.0,0.2180664764316569,0.4779402574678165,0.1302962129733783,0.2072535122562804,0.4780652418447694,0.1188601424821897
Arkansas,AR,3011524,0.75654194179506,2278344.214722426,0.012888016571028947,4,6,2,6,8,2,5,0.0,0.0,0.0,0.1506821795210664,0.0,0.0,0.4719443448337957,0.75654194179506,0.4486426999266324,0.4871955362209396,0.7538517975055026,0.4651504035216434
Louisiana,LA,4657757,0.5332858950031626,2483916.1104522455,0.014050884754678944,6,6,0,8,8,0,22,0.0,0.0,0.0,0.3143193172164198,0.0,0.0,0.2221672352471735,0.5332858950031626,0.1266603415559772,0.216696809772296,0.5151802656546489,0.1157495256166983
Minnesota,MN,5706494,0.4385285575992255,2502460.5827686344,0.014155786140944551,8,6,-2,10,8,-2,27,0.0,0.0,0.0,0.0698211546354031,0.0,0.0,0.1826247504235237,0.4385285575992255,0.095514682155534,0.1763942249515973,0.4447241045498548,0.0834462729912875
Oregon,OR,4237256,0.5763581051716645,2442176.8392872666,0.013814776261958298,6,6,0,8,8,0,41,0.0,0.0,0.0,0.0195067279390246,0.0,0.0,0.3130920701936657,0.5763581051716645,0.2437201216862234,0.3041633138445241,0.5822685788787484,0.234941329856584
South Carolina,SC,5118425,0.4948557450176271,2532882.0166918477,0.014327872492946724,7,6,-1,9,8,-1,45,0.0,0.0,0.0,0.250180670811822,0.0,0.0,0.1867547400590027,0.4948557450176271,0.0889992085761565,0.1893366733998118,0.4998920785668033,0.0891431038204187
Iowa,IA,3190369,0.6730147737765466,2147165.470798707,0.012145971618150031,4,5,1,6,7,1,19,0.0,0.0,0.0,0.0413657479746073,0.0,0.0,0.4104249906672004,0.6730147737765466,0.356994459833795,0.4249380011307566,0.6977146814404432,0.3687673130193906
Kansas,KS,2937880,0.6833396013538925,2007569.7480255736,0.011356313946267429,4,5,1,6,7,1,20,0.0,0.0,0.0,0.0574594605633994,0.0,0.0,0.4372598227962032,0.6833396013538925,0.4104299862103547,0.4163864267728704,0.6720571643474991,0.372696502444528
Connecticut,CT,3605944,0.3925653594771242,1415568.702614379,0.008007513868551572,5,4,-1,7,6,-1,9,0.0,0.0,0.0,0.1077873089543265,0.0,0.0,0.178105273277931,0.3925653594771242,0.1025326797385621,0.1888834635416666,0.3961397058823529,0.1139705882352941
Mississippi,MS,2961279,0.5615671641791046,1662957.0503731347,0.009406927137535053,4,4,0,6,6,0,28,0.0,0.0,0.0,0.3662204743288288,0.0,0.0,0.2329677600765702,0.5615671641791046,0.1291044776119403,0.2242827002681903,0.5335820895522388,0.142910447761194
New Mexico,NM,2117522,0.6976178055990262,1477221.050947661,0.008356265598789572,3,4,1,5,6,1,35,0.0,0.0,0.0,0.0216781691052088,0.0,0.0,0.4848350083137715,0.6976178055990262,0.4548774126238915,0.4590075537134846,0.6744913928012519,0.4152321335419927
Utah,UT,3271616,0.5296634020038276,1732855.2606101544,0.009802323621524951,4,4,0,6,6,0,49,0.0,0.0,0.0,0.0122441019973004,0.0,0.0,0.2632842952303557,0.5296634020038276,0.1704379151187662,0.264692631817798,0.5525160418777441,0.1654846335697399
Nebraska,NE,1961504,0.6116431924882629,1199740.5686384977,0.006786628741009814,3,3,0,5,5,0,31,0.0,0.0,0.0,0.0492147862048713,0.0,0.0,0.3591796301899941,0.6116431924882629,0.3025352112676056,0.3579891065140845,0.6292957746478873,0.2878873239436619
Nevada,NV,3104614,0.3812574139976274,1183657.10510083,0.006695648658521156,4,3,-1,6,5,-1,32,0.0,0.0,0.0,0.0981568078994683,0.0,0.0,0.1601041203291815,0.3812574139976274,0.0759193357058125,0.1786598504225978,0.4491103202846975,0.0836298932384341
West Virginia,WV,1793716,0.7779146141215106,1395357.8899835795,0.007893186416880077,2,3,1,4,5,1,54,0.0,0.0,0.0,0.036690869680596,0.0,0.0,0.5958280892207705,0.7779146141215106,0.6016009852216748,0.5895802164312653,0.7641625615763546,0.5769704433497537
Delaware,DE,989948,0.6543898809523809,647811.9538690476,0.0036645082610540025,1,2,1,3,4,1,10,0.0,0.0,0.0,0.2211217154840456,0.0,0.0,0.3677283695765904,0.6543898809523809,0.2857142857142857,0.3739239828927176,0.6774553571428571,0.2857142857142857
Hawaii,HI,1455271,0.4821564160971905,701668.2498101746,0.003969159696099803,2,2,0,4,4,0,15,0.0,0.0,0.0,0.0160911610277398,0.0,0.0,0.239388224747295,0.4821564160971905,0.1753986332574032,0.2767425745657745,0.5474563401670464,0.2247532270311313
Idaho,ID,1839106,0.483083083083083,888440.9965965964,0.005025685852264166,2,2,0,4,4,0,16,0.0,0.0,0.0,0.008550893749463,0.0,0.0,0.2010706996058558,0.483083083083083,0.1135135135135135,0.1599069772897897,0.424024024024024,0.0726726726726726
Maine,ME,1362359,0.6128683427953501,834946.7026223303,0.004723082170721765,2,2,0,4,4,0,23,0.0,0.0,0.0,0.0189025066080232,0.0,0.0,0.3728988329827318,0.6128683427953501,0.3144092998107596,0.4004914097348945,0.6220600162206001,0.3333333333333333
New Hampshire,NH,1377529,0.5108259823576583,703677.6046511626,0.00398052610786515,2,2,0,4,4,0,33,0.0,0.0,0.0,0.0146109446697673,0.0,0.0,0.2597480045860064,0.5108259823576583,0.1782945736434108,0.324787693589615,0.5605453087409783,0.2590216519647153
Alaska,AK,733391,0.4432730923694779,325092.49648594373,0.001838965971319861,1,1,0,3,3,0,2,0.0,0.0,0.0,0.029858561122239,0.0,0.0,0.2192054350213353,0.4432730923694779,0.1440763052208835,0.2114022496234939,0.4533132530120481,0.1234939759036144
District of Columbia,DC,689545,0.5352564102564102,369083.3814102564,0.002087811273190914,0,0,0,3,3,0,11,0.0,0.0,0.0,0.4144907148917039,0.0,0.0,0.2468830336872329,0.5352564102564102,0.1522435897435897,0.2200606908553685,0.5032051282051282,0.1346153846153846
