state,abbr,fips,population,foreign_born_share,second_generation_proxy,third_plus_proxy,black_alone_share,old_stock_factor,fertility_factor,average_qualifying_ancestry,any_qualifying_ancestor_share,primary_qualifying_ancestry_share,average_qualifying_ancestry_uncalibrated,any_qualifying_ancestor_share_uncalibrated,primary_qualifying_ancestry_share_uncalibrated
Montana,MT,30,1084225,0.0,0.0,0.0,0.005057990730706265,0.0,0.0,0.27602399695782365,0.5586136595310908,0.18246687054026503,0.29720076970247195,0.6075433231396534,0.19164118246687054
North Carolina,NC,37,10439388,0.0,0.0,0.0,0.20501364639383074,0.0,0.0,0.5124596574131798,0.7675944544396233,0.5171270328429816,0.5271393542492095,0.7755318023071225,0.5304265001587469
North Dakota,ND,38,779094,0.0,0.0,0.0,0.034377109822434776,0.0,0.0,0.2226897255466903,0.4808510638297872,0.13002364066193853,0.2238980773492908,0.4624113475177305,0.1375886524822695
Nebraska,NE,31,1961504,0.0,0.0,0.0,0.049214786204871366,0.0,0.0,0.47572728689847416,0.7143661971830987,0.4413145539906103,0.46894503741197185,0.7115492957746479,0.4332394366197183
New Hampshire,NH,33,1377529,0.0,0.0,0.0,0.014610944669767388,0.0,0.0,0.3919386508088161,0.6212242715851377,0.3405506549051056,0.444353949478749,0.681635926222935,0.4041700080192462
New Jersey,NJ,34,9288994,0.0,0.0,0.0,0.13131346623757104,0.0,0.0,0.31750675568004433,0.5686647637170948,0.23711544560735806,0.33006862999710096,0.5632730732635585,0.260941960038059
New Mexico,NM,35,2117522,0.0,0.0,0.0,0.021678169105208825,0.0,0.0,0.6500309516483546,0.804207963832377,0.6485828551556251,0.618737926692097,0.7892540427751695,0.6145018257694314
Nevada,NV,32,3104614,0.0,0.0,0.0,0.09815680789946835,0.0,0.0,0.21827538830812573,0.44661921708185054,0.14045077105575327,0.20785211854982205,0.41459074733096085,0.11850533807829182
New York,NY,36,20201249,0.0,0.0,0.0,0.14782115699875784,0.0,0.0,0.26387281076379393,0.4952782031648801,0.18834317800627143,0.2595783534912697,0.48993655655217677,0.18475169547145046
Ohio,OH,39,11799448,0.0,0.0,0.0,0.1253262864500102,0.0,0.0,0.5231105752056755,0.7363607990012485,0.5070536828963795,0.5223515142662248,0.7402621722846442,0.5000936329588015
Oklahoma,OK,40,3959353,0.0,0.0,0.0,0.0732344400713955,0.0,0.0,0.5477395795640491,0.7709263392857143,0.5508742559523809,0.5495229278291974,0.7845982142857143,0.5633370535714286
Oregon,OR,41,4237256,0.0,0.0,0.0,0.01950672793902469,0.0,0.0,0.44732886177205566,0.6840504128639721,0.404606692742286,0.40715882700456324,0.6610169491525424,0.34784876140808346
Pennsylvania,PA,42,13002700,0.0,0.0,0.0,0.1094518061633353,0.0,0.0,0.4545465121945984,0.6866343784518651,0.41178803070212705,0.47116773691079317,0.6935168663437845,0.43062282266972557
Rhode Island,RI,44,1097379,0.0,0.0,0.0,0.05665134834911184,0.0,0.0,0.21476941782582246,0.4219536757301108,0.13494461228600202,0.21912198868643,0.44914400805639476,0.1419939577039275
South Carolina,SC,45,5118425,0.0,0.0,0.0,0.250180670811822,0.0,0.0,0.3228872535091329,0.6476005468019282,0.24073674365062234,0.31525399899498163,0.6300453270019426,0.23462119576947982
South Dakota,SD,46,886667,0.0,0.0,0.0,0.020122548826109463,0.0,0.0,0.30174392820542756,0.5915317559153176,0.2220838522208385,0.22609185281755914,0.5080946450809465,0.1581569115815691
Tennessee,TN,47,6910840,0.0,0.0,0.0,0.1581498052335172,0.0,0.0,0.5936196940884791,0.8063415933919531,0.6263256061817213,0.5922131435476619,0.806554756195044,0.6214228617106315
Texas,TX,48,29145505,0.0,0.0,0.0,0.12190548765581519,0.0,0.0,0.42790838226634564,0.6924311346980035,0.3955269143290372,0.43263654614868624,0.7035633055344959,0.4058377558756634
Utah,UT,49,3271616,0.0,0.0,0.0,0.012244101997300416,0.0,0.0,0.38973163165421315,0.6450523471800067,0.3274794551390296,0.39451113169115165,0.6440391759540696,0.3336710570753124
Virginia,VA,51,8631393,0.0,0.0,0.0,0.18624815252879806,0.0,0.0,0.42734928264575595,0.7088240314046765,0.38897422768390505,0.43968107708893367,0.7163338453661034,0.40386584741423454
Vermont,VT,50,643077,0.0,0.0,0.0,0.014048084444009038,0.0,0.0,0.5041403229703608,0.7016036655211914,0.4719358533791524,0.4611145229274055,0.6185567010309279,0.4261168384879725
Washington,WA,53,7705281,0.0,0.0,0.0,0.039916130248851406,0.0,0.0,0.3190165371024669,0.5825924863779753,0.244766274734729,0.31220970230386974,0.5666762259822197,0.25121881273300833
Wisconsin,WI,55,5893718,0.0,0.0,0.0,0.06384017694772638,0.0,0.0,0.36280425121420373,0.6313585801774778,0.2900262467191601,0.36900578467730594,0.645856767904012,0.30071241094863144
West Virginia,WV,54,1793716,0.0,0.0,0.0,0.03669086968059604,0.0,0.0,0.7284281813648142,0.833128078817734,0.7376847290640395,0.7264305077162869,0.8411330049261084,0.7302955665024631
Wyoming,WY,56,576851,0.0,0.0,0.0,0.009069933136979914,0.0,0.0,0.3577221399066092,0.6162196679438058,0.2994891443167305,0.31748711012332376,0.5938697318007663,0.21264367816091953
