Asia,continent,Asia,,34,55,121,36080,54408,134071,71152,61304,300441,269736,126740,19292,34532,135844,358563,1406526,2391356,2859899,3470835,410209,438580,416488,389301,419382,405854,442854,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
China,country,Asia,East Asia,3,8,32,35933,54028,133139,65797,15268,19884,20916,30648,5874,16072,8836,14060,17627,170897,342058,591711,67634,83603,78184,68410,72492,70977,77658,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Hong Kong,country,Asia,East Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,13781,67047,117350,112132,116894,57583,3263,3149,2642,2614,2515,2426,2982,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
India,country,Asia,South Asia,9,38,33,42,50,166,247,102,3026,3478,2076,554,1692,1922,18638,148018,231649,352528,590464,66185,66331,63320,65506,74451,61380,61691,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Iran,country,Asia,Middle East & North Africa,0,0,7,0,4,17,18,26,0,0,208,198,1144,3195,9059,33763,98141,76899,76755,9078,9015,8955,9658,8894,9074,9596,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Israel,country,Asia,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,98,21376,30911,36306,43669,41340,54081,5172,4389,4640,4555,4251,4324,4652,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Japan,country,Asia,East Asia,0,0,0,0,138,193,1583,13998,139712,77125,42057,2683,1557,41968,40956,52812,44150,66582,84552,7100,6751,6581,6383,5980,5808,5709,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Jordan,country,Asia,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,3,4919,9230,25541,28928,42755,53550,9327,8211,7014,5949,9028,7835,7345,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Korea,country,Asia,East Asia,0,0,0,0,0,0,0,0,0,0,0,0,83,4845,27048,241192,322708,179770,209758,22022,22748,20802,22937,20313,16976,21329,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Philippines,country,Asia,Southeast Asia,0,0,0,0,0,4,1,19,605,0,0,457,4099,17245,70660,337726,502056,534338,545463,56399,55251,55441,52955,48633,54307,50609,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Syria,country,Asia,Middle East & North Africa,0,0,0,0,2,7,140,0,0,0,5307,2188,1179,1091,2432,8086,14534,22906,30807,7424,7983,6674,3999,4677,5459,3800,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Taiwan,country,Asia,East Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,721,15657,83155,119051,132647,92657,6785,6206,5295,5336,4712,4814,5062,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Turkey,country,Asia,Middle East & North Africa,19,8,45,94,129,382,2478,27510,127999,160717,40374,1314,754,2980,9464,12209,19208,38687,48394,7435,9040,7362,7189,7248,8762,8635,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Vietnam,country,Asia,Southeast Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,290,2949,121716,200632,275379,289616,30065,33486,27578,26578,29825,30332,40412,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Other Asia,country,Asia,Other Asia,3,1,4,11,57,163,888,4381,9215,7500,6070,6024,7851,12675,40452,171025,483601,637116,745444,112320,122417,122000,107232,126363,123380,143374,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
America,continent,America,,9656,31911,50527,84201,130427,345889,529845,38756,277882,1070539,1591278,230319,328435,921644,1674185,1903636,2694504,5137142,4441529,426981,423277,409664,399380,400102,439228,502639,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Canada and Newfoundland,subregion,America,Canada,2297,11875,34285,64171,117975,323974,492508,2668,123067,708715,949286,162703,160911,353169,433128,179267,156313,194788,236349,19491,19506,20138,20489,17670,19309,19349,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Mexico,subregion,America,Mexico & Central America,3835,7187,3069,3446,1957,5133,2405,734,31188,185334,498945,32709,56158,273847,441824,621218,1009586,2757418,1704166,138717,142823,145326,134198,133107,157227,172726,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Caribbean,subregion,America,Caribbean,3061,11792,11803,12447,8809,14592,27600,31885,100960,120860,83482,18052,46285,115869,427843,708643,789343,1004114,1053357,139389,133012,126615,121349,133550,146086,180479,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Cuba,country,America,,0,0,0,0,3420,8705,20134,23669,0,0,12769,10641,25976,73221,202030,256497,132552,159037,271742,33372,36261,32551,31343,46505,54178,66120,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Dominican Republic,country,America,,0,0,0,0,0,0,0,0,0,0,0,1165,4802,10219,83552,139249,221552,359818,291492,53890,46036,41535,41487,44550,50382,60613,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Haiti,country,America,,0,0,0,0,78,149,124,101,0,0,0,207,823,3787,28992,55166,121406,177446,203827,22336,21802,22446,20083,15107,16787,23185,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Jamaica,country,America,,0,0,0,0,61,257,355,223,0,0,0,0,0,7397,62218,130226,193874,177143,172523,19439,19298,20300,19052,18804,17362,22833,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Other Caribbean,country,America,,3061,11792,11803,12447,5250,5481,6987,7892,100960,120860,70713,6039,14684,21245,51051,127505,119959,130670,113773,10352,9615,9783,9384,8584,7377,7728,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Central America,subregion,America,Mexico & Central America,57,94,297,512,70,202,359,674,7341,15692,16511,6840,20135,40201,98569,120376,339376,610189,591130,43597,43249,39837,44056,43638,46556,54512,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Belize,country,America,,0,0,0,0,9,26,80,25,583,40,285,193,433,1133,4185,6747,14964,12600,9682,997,933,875,969,823,804,878,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Costa Rica,country,America,,0,0,0,0,2,4,1,4,0,0,0,580,1965,4044,17975,12405,25017,17054,21571,2306,2230,2152,2232,2018,2121,2295,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
El Salvador,country,America,,0,0,0,0,0,3,0,7,0,0,0,712,4885,5094,14405,29428,137418,273017,251237,18547,18477,15874,18015,18964,18699,21268,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Guatemala,country,America,,0,0,0,0,1,10,3,9,0,0,0,632,1303,4197,14357,23837,58847,126043,156992,10263,10795,9857,9829,9871,11466,12548,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Honduras,country,America,,0,0,0,0,0,11,4,4,0,0,0,809,1874,5320,15087,15653,39071,72880,63513,6381,6053,6773,8795,8025,9071,12996,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Nicaragua,country,America,,0,0,0,0,0,1,1,3,0,0,0,564,4393,7812,10383,10911,31102,80446,70015,3476,3314,2943,2940,2773,3262,3397,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Panama,country,America,,0,0,0,0,0,0,0,0,0,0,0,1774,5282,12601,22177,21395,32957,28149,18120,1627,1447,1363,1276,1164,1133,1130,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Other Central America,country,America,,57,94,297,512,58,147,270,622,6758,15652,16226,1576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
South America,subregion,America,South America,405,957,1062,3569,1536,1109,1954,1389,15253,39938,43025,9990,19662,78418,250754,273529,399803,570596,856508,85783,84687,77748,79287,72135,70049,75571,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
